rank,State,Population,HouseholdIncome
48,Alabama,4850771,46472
4,Alaska,738565,76114
31,Arizona,6809946,53510
50,Arkansas,2977944,43813
10,California,38982847,67169
13,Colorado,5436519,65458
7,Connecticut,3594478,73781
15,Delaware,943732,63036
2,District of Columbia,672391,77649
39,Florida,20278447,50883
33,Georgia,10201635,52977
5,Hawaii,1421658,74923
38,Idaho,1657375,50985
18,Illinois,12854526,61229
36,Indiana,6614418,52182
26,Iowa,3118102,56570
28,Kansas,2903820,55477
47,Kentucky,4424376,46535
46,Louisiana,4663461,46710
32,Maine,1330158,53024
1,Maryland,5996079,78916
6,Massachusetts,6789319,74167
34,Michigan,9925568,52668
12,Minnesota,5490726,65699
51,Mississippi,2986220,42009
37,Missouri,6075300,51542
40,Montana,1029862,50801
25,Nebraska,1893921,56675
29,Nevada,2887725,55434
8,New Hampshire,1331848,71305
3,New Jersey,8960161,76475
45,New Mexico,2084828,46718
16,New York,19798228,62765
41,North Carolina,10052564,50320
17,North Dakota,745475,61285
35,Ohio,11609756,52407
42,Oklahoma,3896251,49767
27,Oregon,4025127,56119
23,Pennsylvania,12790505,56951
19,Rhode Island,1056138,61043
43,South Carolina,4893444,48781
30,South Dakota,855444,54126
44,Tennessee,6597381,48708
22,Texas,27419612,57051
14,Utah,2993941,65325
21,Vermont,624636,57808
9,Virginia,8365952,68766
11,Washington,7169967,66174
49,West Virginia,1836843,44061
24,Wisconsin,5763217,56759
20,Wyoming,583200,60938
